Altium Designer Pick and Place Locations
D:\GoogleDrive\my_documents\projects\FE\USB DAQ\REV_B2\Project Outputs for DAQ_REV_B2\Pick Place for DAQ_REV_B2(DAQ).csv

========================================================================================================================
File Design Information:

Date:       07/09/17
Time:       15:11
Revision:   Not in VersionControl
Variant:    DAQ
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J3","","TopLayer","HEADER_2X05_1.27mm","30,000","11,200","90","Header strait 1.27mm 5way X 2"
"R58","0?","TopLayer","0603R","5,150","14,900","270","resistor smd 0603 0? 5% 0.1w"
"C48","1µ","TopLayer","0603C","34,750","-11,850","90","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C9","1µ","TopLayer","0603C","40,800","-13,098","180","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C15","1µ","TopLayer","0603C","27,450","-19,000","270","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C18","1µ","TopLayer","0603C","2,750","-16,500","90","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C19","1µ","TopLayer","0603C","2,750","-19,750","270","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C21","1µ","TopLayer","0603C","8,250","-18,800","90","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C22","1µ","TopLayer","0603C","36,200","-17,248","90","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C23","1µ","TopLayer","0603C","8,250","-14,950","270","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C25","1µ","TopLayer","0603C","18,200","-16,750","90","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C26","1µ","TopLayer","0603C","12,950","-19,500","180","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C28","1µ","TopLayer","0603C","14,250","-14,050","180","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C29","1µ","TopLayer","0603C","42,600","-21,250","270","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C36","1µ","TopLayer","0603C","26,050","4,452","45","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C40","1µ","TopLayer","0603C","56,050","9,350","360","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"C41","1µ","TopLayer","0603C","40,000","-7,248","135","ceramic X5R SMD capacitor smd 0603 1µF 50V"
"L5","10µ","TopLayer","ind_4mmX4mm","12,950","-10,800","360","SMD inductor 10µH, 0.8A"
"C1","100n","TopLayer","0603C","54,550","2,100","180","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C2","100n","TopLayer","0603C","64,000","-19,050","270","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C3","100n","TopLayer","0603C","56,750","-10,350","360","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C8","100n","TopLayer","0603C","50,450","-20,550","90","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C10","100n","TopLayer","0603C","40,800","-14,498","180","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C11","100n","TopLayer","0603C","47,350","-18,100","180","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C12","100n","TopLayer","0603C","44,900","-22,350","90","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C17","100n","TopLayer","0603C","55,975","-24,250","270","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C32","100n","TopLayer","0603C","50,450","-24,150","270","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C35","100n","TopLayer","0603C","36,050","-10,098","270","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C37","100n","TopLayer","0603C","42,350","1,802","315","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C38","100n","TopLayer","0603C","28,800","-7,000","225","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C39","100n","TopLayer","0603C","26,950","3,502","225","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C42","100n","TopLayer","0603C","40,900","-6,348","315","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C43","100n","TopLayer","0603C","40,000","5,402","45","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C44","100n","TopLayer","0603C","26,900","-5,048","225","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"C45","100n","TopLayer","0603C","32,850","-8,398","45","ceramic X7R SMD capacitor smd 0603 100nF 16V"
"R27","100?","TopLayer","0603R","50,550","-18,100","180","resistor smd 0603 100? 5% 0.1w"
"R32","100?","TopLayer","0603R","70,275","9,402","360","resistor smd 0603 100? 5% 0.1w"
"R33","100?","TopLayer","0603R","67,175","8,302","180","resistor smd 0603 100? 5% 0.1w"
"R34","100?","TopLayer","0603R","70,275","7,202","360","resistor smd 0603 100? 5% 0.1w"
"R35","100?","TopLayer","0603R","67,175","6,102","180","resistor smd 0603 100? 5% 0.1w"
"R36","100?","TopLayer","0603R","70,275","5,002","360","resistor smd 0603 100? 5% 0.1w"
"R37","100?","TopLayer","0603R","67,175","3,902","180","resistor smd 0603 100? 5% 0.1w"
"R38","100?","TopLayer","0603R","70,275","2,802","360","resistor smd 0603 100? 5% 0.1w"
"R39","100?","TopLayer","0603R","67,175","1,702","180","resistor smd 0603 100? 5% 0.1w"
"R44","10k?","TopLayer","0603R","17,500","-10,750","270","resistor smd 0603 10k? 1% 0.1w"
"R54","10k?","TopLayer","0603R","9,750","11,850","270","resistor smd 0603 10k? 1% 0.1w"
"C34","10p","TopLayer","0603C","14,750","-21,100","360","ceramic C0G SMD capacitor smd 0603 10pF 100V"
"R43","113k?","TopLayer","0603R","15,950","-10,750","90","resistor smd 0603 113k? 1% 0.1w"
"R1","120k","TopLayer","0603R","51,600","-7,508","270","resistor smd 0603 120k? 0.1% 0.1w"
"R2","120k","TopLayer","0603R","58,275","2,725","90","resistor smd 0603 120k? 0.1% 0.1w"
"R9","120k","TopLayer","0603R","53,150","-7,508","90","resistor smd 0603 120k? 0.1% 0.1w"
"R10","120k","TopLayer","0603R","56,730","2,725","270","resistor smd 0603 120k? 0.1% 0.1w"
"R11","120k","TopLayer","0603R","56,955","-7,508","270","resistor smd 0603 120k? 0.1% 0.1w"
"R13","120k","TopLayer","0603R","50,850","2,725","90","resistor smd 0603 120k? 0.1% 0.1w"
"R22","120k","TopLayer","0603R","55,410","-7,508","90","resistor smd 0603 120k? 0.1% 0.1w"
"R23","120k","TopLayer","0603R","52,400","2,725","270","resistor smd 0603 120k? 0.1% 0.1w"
"R29","120k","TopLayer","0603R","44,850","-18,900","90","resistor smd 0603 120k? 0.1% 0.1w"
"R31","120k","TopLayer","0603R","47,250","-23,150","360","resistor smd 0603 120k? 0.1% 0.1w"
"L1","120? @ 100MHz","TopLayer","0805R","54,200","-24,450","90","Ferrite bead, 0.15?, 200mA, 0805, 120E @ 100MHz"
"L4","120? @ 100MHz","TopLayer","0805R","33,700","-16,398","360","Ferrite bead, 0.15?, 200mA, 0805, 120E @ 100MHz"
